Id	D8B1	D8B2	D8B3	D8B6	D8B7	D8B8	D8B9	D20B1	D20B2	D20B3	D20B6	D20B7	D20B8	D20B9	norm.D8B1	norm.D8B2	norm.D8B3	norm.D8B6	norm.D8B7	norm.D8B8	norm.D8B9	norm.D20B1	norm.D20B2	norm.D20B3	norm.D20B6	norm.D20B7	norm.D20B8	norm.D20B9	baseMean	D8	D20	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
PRELSG_1022300	1875	378	28	516	1427	1621	819	184	2	40	5	77	33	10	156	101	72	100	134	127	116	82	36	126	124	124	171	130	114.11	115	113	0.961	-0.058	-0.228	0.819310610756242	0.999204487240972	0.0838	0.0626	0.0737	0.0737	TRUE	NA
PRELSG_1022400	2	0	1	1	3	3	3	1	1	0	0	0	0	0	0	0	3	0	0	0	0	0	18	0	0	0	0	0	1.61	0	3	4.595	2.2	1.829	0.0674107771771734	NA	1.5715	1.2058	1.2961	1.2961	TRUE	NA
PRELSG_1022500	266	62	5	75	205	174	93	23	3	5	1	9	1	0	22	17	13	15	19	14	13	10	55	16	25	14	5	0	16.94	16	18	0.782	-0.355	-0.756	0.449541648891858	0.999204487240972	0.161	0.1565	0.1593	0.1593	TRUE	NA
PRELSG_1022600	91	32	8	60	72	104	57	21	0	7	0	3	4	2	8	9	21	12	7	8	8	9	0	22	0	5	21	26	11	10	12	1.235	0.305	0.665	0.505822702270655	0.999204487240972	0.0422	0.216	0.1361	0.1361	TRUE	NA
PRELSG_1022700	1415	498	61	704	1408	1538	896	272	4	32	4	71	23	6	118	133	157	137	132	120	127	121	73	101	99	114	119	78	116.26	132	101	0.821	-0.285	-1.453	0.146124005076954	0.999204487240972	0	0.0623	0.0353	0.0353	TRUE	NA
PRELSG_1022800	117	7	3	13	126	72	31	8	0	1	1	3	1	0	10	2	8	3	12	6	4	4	0	3	25	5	5	0	6.08	6	6	0.643	-0.637	-1.016	0.309709209364468	0.999204487240972	0.1409	0.3535	0.2531	0.2531	TRUE	NA
PRELSG_1022900	219	71	6	119	194	259	131	60	1	7	0	9	9	1	18	19	15	23	18	20	19	27	18	22	0	14	47	13	19.55	19	20	1.219	0.286	0.794	0.426961318105675	0.999204487240972	0.008	0.1418	0.0963	0.0963	TRUE	NA
PRELSG_1023000	21	6	1	5	14	20	9	2	0	0	0	1	0	0	2	2	3	1	1	2	1	1	0	0	0	2	0	0	0.97	2	0	1.031	0.045	0.042	0.966607485837623	NA	0	1.9785	1.0446	1.0446	TRUE	NA
PRELSG_1023100	4013	1508	167	2016	3951	3655	2824	894	15	153	8	299	65	37	335	402	429	391	370	286	400	399	274	481	198	480	336	480	375.7	373	378	1.059	0.083	0.509	0.610811499842782	0.999204487240972	0.0215	0.0512	0.0338	0.0338	TRUE	NA
PRELSG_1023200	94	38	2	37	78	127	55	26	0	3	0	7	1	1	8	10	5	7	7	10	8	12	0	9	0	11	5	13	7.55	8	7	1.209	0.274	0.544	0.586514209484096	0.999204487240972	0	0.2936	0.164	0.164	TRUE	NA
PRELSG_1023300	37	6	1	10	19	56	8	1	0	1	0	0	2	1	3	2	3	2	2	4	1	0	0	3	0	0	10	13	3.1	2	4	1.121	0.165	0.199	0.841995422312923	NA	0	0.6491	0.5249	0.5249	TRUE	NA
PRELSG_1023400	3603	1047	100	1524	3439	3542	2265	549	15	101	6	222	52	27	301	279	257	296	322	277	321	245	274	317	148	356	269	350	286.57	293	280	0.973	-0.04	-0.258	0.796166828414747	0.999204487240972	0.0116	0.0527	0.0275	0.0275	TRUE	NA
PRELSG_1023500	115	32	5	58	123	172	95	27	0	6	0	5	3	0	10	9	13	11	12	13	13	12	0	19	0	8	16	0	9.65	12	8	0.914	-0.129	-0.279	0.780439011054377	0.999204487240972	0	0.2398	0.1429	0.1429	TRUE	NA
PRELSG_1023600	6253	1901	170	2428	6521	5931	3695	1009	29	135	22	367	81	30	522	507	436	471	611	464	523	450	529	424	544	589	419	389	491.34	505	478	0.93	-0.104	-0.847	0.39721644595824	0.999204487240972	0.0019	0.05	0.0173	0.0173	TRUE	NA
PRELSG_1023700	136	32	2	43	127	137	81	20	1	5	0	4	2	0	11	9	5	8	12	11	11	9	18	16	0	6	10	0	9.08	10	8	0.874	-0.194	-0.382	0.702543092216305	0.999204487240972	0	0.252	0.1699	0.1699	TRUE	NA
PRELSG_1023800	1322	385	34	579	1151	1712	693	238	6	52	1	74	19	11	110	103	87	112	108	134	98	106	109	163	25	119	98	143	108.28	107	109	1.053	0.074	0.336	0.737016685012687	0.999204487240972	0.0372	0.0634	0.0518	0.0518	TRUE	NA
PRELSG_1023900	113	34	5	31	100	137	84	21	1	8	0	9	3	2	9	9	13	6	9	11	12	9	18	25	0	14	16	26	12.71	10	15	1.428	0.514	1.26	0.207530357090015	0.999204487240972	0	0.1932	0.1081	0.1081	TRUE	NA
PRELSG_1024000	449	145	21	216	488	388	299	75	1	13	1	31	6	2	37	39	54	42	46	30	42	33	18	41	25	50	31	26	36.74	41	32	0.872	-0.198	-0.731	0.464579272456028	0.999204487240972	0	0.097	0.0508	0.0508	TRUE	NA
PRELSG_1024100	426	130	8	187	439	397	239	52	4	7	2	17	8	0	36	35	21	36	41	31	34	23	73	22	49	27	41	0	33.53	33	34	0.86	-0.217	-0.659	0.510103029392832	0.999204487240972	0.0622	0.1019	0.0831	0.0831	TRUE	NA
PRELSG_1024200	96	43	6	55	115	114	55	18	1	2	0	1	1	1	8	11	15	11	11	9	8	8	18	6	0	2	5	13	8.95	10	7	0.63	-0.668	-1.175	0.239872890720781	0.999204487240972	0	0.2549	0.2028	0.2028	TRUE	NA
PRELSG_1024300	194	43	5	96	180	233	135	39	2	11	2	12	6	2	16	11	13	19	17	18	19	17	36	35	49	19	31	26	23.39	16	30	1.523	0.607	1.825	0.0679873354094545	0.955866552113594	0	0.1261	0.0769	0.0769	TRUE	NA
PRELSG_1024400	166	54	7	81	172	167	96	50	3	3	1	8	3	1	14	14	18	16	16	13	14	22	55	9	25	13	16	13	18.37	15	22	1.231	0.3	0.757	0.44876940805843	0.999204487240972	0.0585	0.1479	0.1081	0.1081	TRUE	NA
PRELSG_1024500	326	116	6	106	494	197	171	32	1	4	0	7	2	0	27	31	15	21	46	15	24	14	18	13	0	11	10	0	17.62	26	9	0.427	-1.227	-2.778	0.00546152151975163	0.310373209389898	0.0744	0.1522	0.1194	0.1194	TRUE	NA
PRELSG_1024600	12	5	1	5	13	16	8	5	0	0	0	0	0	0	1	1	3	1	1	1	1	2	0	0	0	0	0	0	0.84	1	0	1.186	0.246	0.204	0.838000725411473	NA	0	2.2809	1.4883	1.4883	TRUE	NA
PRELSG_1024700	578	159	9	196	511	608	341	83	0	22	5	38	5	6	48	42	23	38	48	48	48	37	0	69	124	61	26	78	49.28	42	56	1.189	0.249	0.709	0.478525847908265	0.999204487240972	0.2041	0.0841	0.1364	0.1364	TRUE	NA
PRELSG_1024800	225	77	9	83	133	223	109	36	0	4	0	18	2	0	19	21	23	16	12	17	15	16	0	13	0	29	10	0	13.69	18	10	0.789	-0.341	-0.734	0.463042419315712	0.999204487240972	0.1404	0.1826	0.1666	0.1666	TRUE	NA
PRELSG_1024900	20	3	0	9	15	24	11	6	0	0	0	1	0	0	2	1	0	2	1	2	2	3	0	0	0	2	0	0	0.95	1	1	1.496	0.582	0.528	0.597284943080393	NA	0	2.0072	1.2079	1.2079	TRUE	NA
PRELSG_1025000	252	86	6	167	254	243	199	71	1	4	0	7	2	1	21	23	15	32	24	19	28	32	18	13	0	11	10	13	18.56	23	14	0.724	-0.467	-1.069	0.285031017081197	0.999204487240972	0	0.1469	0.1461	0.1461	TRUE	NA
PRELSG_1025100	22	10	2	13	37	38	21	4	0	1	0	1	0	0	2	3	5	3	3	3	3	2	0	3	0	2	0	0	2.01	3	1	0.763	-0.391	-0.469	0.639321710793289	NA	0	0.9769	0.5202	0.5202	TRUE	NA
PRELSG_1025200	183	74	4	176	154	349	144	79	0	5	0	8	5	1	15	20	10	34	14	27	20	35	0	16	0	13	26	13	17.44	20	15	1.055	0.077	0.185	0.853049595715283	0.999204487240972	0.1238	0.1533	0.1392	0.1392	TRUE	NA
PRELSG_1025300	24	9	0	14	28	42	17	4	0	0	0	1	0	1	2	2	0	3	3	3	2	2	0	0	0	2	0	13	2.27	2	2	1.074	0.102	0.119	0.905539614430391	NA	0	0.869	0.5399	0.5399	TRUE	NA
PRELSG_1025400	2168	678	108	1272	1898	2979	1485	636	12	84	5	130	54	20	181	181	277	247	178	233	210	284	219	264	124	209	279	259	224.61	215	234	1.153	0.205	1.204	0.228701916213624	0.999204487240972	0.0195	0.0545	0.0335	0.0335	TRUE	NA
PRELSG_1025500	67	21	1	20	54	77	18	13	0	2	0	2	2	0	6	6	3	4	5	6	3	6	0	6	0	3	10	0	4.07	5	4	1.08	0.111	0.173	0.86284875258111	NA	0	0.5058	0.2803	0.2803	TRUE	NA
